mysql                                                                         , 5.6                                       b3983abaa3fe        11 days ago         302MB
kubernetesui/dashboard                                                        , v2.0.0-beta4                              6802d83967b9        2 months ago        84MB
gcr.io/kubeflow-images-public/centraldashboard                                , v20190823-v0.6.0-rc.0-69-gcb7dab59        5712b77f505d        2 months ago        211MB
gcr.io/kubeflow-images-public/jupyter-web-app                                 , 9419d4d                                   0662c9d48f3d        2 months ago        585MB
k8s.gcr.io/kube-addon-manager                                                 , v9.0.2                                    bd12a212f9dc        3 months ago        83.1MB
gcr.io/kubeflow-images-public/metadata                                        , v0.1.8                                    a67dc3a2f310        3 months ago        2.94GB
kubernetesui/metrics-scraper                                                  , v1.0.1                                    709901356c11        3 months ago        40.1MB
gcr.io/kubeflow-images-public/pytorch-operator                                , v1.0.0-rc.0                               c0f093dd3e3d        3 months ago        296MB
gcr.io/kubeflow-images-public/katib/v1alpha2/katib-ui                         , v0.6.0-rc.0                               eb9840567eb0        3 months ago        51MB
gcr.io/kubeflow-images-public/katib/v1alpha2/katib-controller                 , v0.6.0-rc.0                               669358c686d5        3 months ago        49.1MB
gcr.io/kubeflow-images-public/katib/v1alpha2/suggestion-nasrl                 , v0.6.0-rc.0                               936fe30b48a2        3 months ago        1.54GB
gcr.io/kubeflow-images-public/katib/v1alpha2/suggestion-random                , v0.6.0-rc.0                               a3003b258462        3 months ago        1.19GB
gcr.io/kubeflow-images-public/katib/v1alpha2/suggestion-bayesianoptimization  , v0.6.0-rc.0                               c5052e0543ec        3 months ago        1.19GB
gcr.io/kubeflow-images-public/katib/v1alpha2/suggestion-hyperband             , v0.6.0-rc.0                               4639c16a1ad4        3 months ago        1.19GB
gcr.io/kubeflow-images-public/katib/v1alpha2/suggestion-grid                  , v0.6.0-rc.0                               9e31bff11ff5        3 months ago        1.19GB
gcr.io/kubeflow-images-public/katib/v1alpha2/katib-manager                    , v0.6.0-rc.0                               9e5894d9ef14        3 months ago        28.9MB
gcr.io/kubeflow-images-public/katib/v1alpha2/katib-manager-rest               , v0.6.0-rc.0                               c01b76df9b0b        3 months ago        18.6MB
gcr.io/kubeflow-images-public/tf_operator                                     , v0.6.0.rc0                                8082f4dd472b        3 months ago        731MB
gcr.io/kubeflow-images-public/metadata-frontend                               , v0.1.8                                    e54fb386ae67        3 months ago        135MB
seldonio/seldon-core-operator                                                 , 0.3.1                                     26b3082c3751        4 months ago        113MB
gcr.io/ml-pipeline/persistenceagent                                           , 0.1.23                                    132cc8bf8d79        4 months ago        42.3MB
gcr.io/ml-pipeline/viewer-crd-controller                                      , 0.1.23                                    f699ee9b3562        4 months ago        115MB
gcr.io/ml-pipeline/scheduledworkflow                                          , 0.1.23                                    0e8ef8084459        4 months ago        82.2MB
gcr.io/ml-pipeline/api-server                                                 , 0.1.23                                    d6b2b8e28177        4 months ago        174MB
gcr.io/ml-pipeline/frontend                                                   , 0.1.23                                    c325f005af09        4 months ago        158MB
gcr.io/kubeflow-images-public/kfam                                            , v20190612-v0-170-ga06cdb79-dirty-a33ee4   9e6e2b82e838        4 months ago        2.09GB
gcr.io/kubeflow-images-public/profile-controller                              , v20190619-v0-219-gbd3daa8c-dirty-1ced0e   5341fa57f273        4 months ago        143MB
